phi,thetha,r,t
-60.7963730809952,90.2816810463839,646879.032538028,79.5999999999998
-60.7873798104744,90.2819361550321,646845.71780922,79.6999999999997
-60.7783856110194,90.2821912830728,646812.334645946,79.7999999999997
-60.7693904805825,90.2824464305556,646778.883042006,79.8999999999997
-60.7603944171147,90.2827015975302,646745.362991185,79.9999999999997
-60.7513974185658,90.2829567840462,646711.774487257,80.0999999999997
-60.7423994828847,90.2832119901533,646678.11752398,80.1999999999997
-60.7334006080192,90.2834672159013,646644.3920951,80.2999999999997
-60.7244007919158,90.2837224613399,646610.598194349,80.3999999999997
-60.7154000325201,90.2839777265188,646576.735815444,80.4999999999997
-60.7063983277765,90.2842330114879,646542.804952091,80.5999999999997
-60.6973956756284,90.2844883162969,646508.805597979,80.6999999999997
-60.688392074018,90.2847436409956,646474.737746785,80.7999999999997
-60.6793875208862,90.284998985634,646440.601392174,80.8999999999997
-60.6703820141732,90.2852543502618,646406.396527795,80.9999999999997
-60.6613755518178,90.285509734929,646372.123147283,81.0999999999997
-60.6523681317576,90.2857651396854,646337.781244262,81.1999999999997
-60.6433597519294,90.286020564581,646303.370812339,81.2999999999997
-60.6343504102687,90.2862760096657,646268.89184511,81.3999999999997
-60.6253401047096,90.2865314749895,646234.344336156,81.4999999999996
-60.6163288331856,90.2867869606025,646199.728279044,81.5999999999996
-60.6073165936286,90.2870424665545,646165.043667328,81.6999999999996
-60.5983033839696,90.2872979928957,646130.290494548,81.7999999999996
-60.5892892021385,90.2875535396761,646095.468754231,81.8999999999996
-60.5802740460638,90.2878091069457,646060.578439888,81.9999999999996
-60.5712579136732,90.2880646947548,646025.619545019,82.0999999999996
-60.562240802893,90.2883203031533,645990.592063108,82.1999999999996
-60.5532227116483,90.2885759321915,645955.495987627,82.2999999999996
-60.5442036378634,90.2888315819195,645920.331312034,82.3999999999996
-60.5351835794609,90.2890872523875,645885.098029771,82.4999999999996
-60.5261625343628,90.2893429436457,645849.796134269,82.5999999999996
-60.5171405004896,90.2895986557444,645814.425618943,82.6999999999996
-60.5081174757608,90.2898543887337,645778.986477197,82.7999999999996
-60.4990934580945,90.290110142664,645743.478702418,82.8999999999996
-60.4900684454078,90.2903659175856,645707.902287981,82.9999999999996
-60.4810424356167,90.2906217135488,645672.257227247,83.0999999999996
-60.4720154266359,90.290877530604,645636.543513564,83.1999999999995
-60.4629874163789,90.2911333688014,645600.761140263,83.2999999999995
-60.4539584027581,90.2913892281915,645564.910100664,83.3999999999995
-60.4449283836847,90.2916451088248,645528.990388074,83.4999999999995
-60.4358973570687,90.2919010107515,645493.001995782,83.5999999999995
-60.4268653208189,90.2921569340223,645456.944917068,83.6999999999995
-60.4178322728428,90.2924128786876,645420.819145195,83.7999999999995
-60.408798211047,90.2926688447978,645384.624673413,83.8999999999995
-60.3997631333366,90.2929248324035,645348.361494957,83.9999999999995
-60.3907270376156,90.2931808415552,645312.029603051,84.0999999999995
-60.3816899217869,90.2934368723036,645275.628990902,84.1999999999995
-60.3726517837521,90.2936929246992,645239.159651706,84.2999999999995
-60.3636126214115,90.2939489987926,645202.621578641,84.3999999999995
-60.3545724326643,90.2942050946345,645166.014764875,84.4999999999995
